User,"Gender (1 =F, 0=M)",260: Star Wars: Episode IV - A New Hope (1977),1210: Star Wars: Episode VI - Return of the Jedi (1983),356: Forrest Gump (1994),"318: Shawshank Redemption, The (1994)","593: Silence of the Lambs, The (1991)",3578: Gladiator (2000),1: Toy Story (1995),2028: Saving Private Ryan (1998),296: Pulp Fiction (1994),1259: Stand by Me (1986),2396: Shakespeare in Love (1998),2916: Total Recall (1990),780: Independence Day (ID4) (1996),541: Blade Runner (1982),1265: Groundhog Day (1993),"2571: Matrix, The (1999)",527: Schindler's List (1993),"2762: Sixth Sense, The (1999)",1198: Raiders of the Lost Ark (1981),34: Babe (1995),
755,0,1,5,2,,4,4,2,2,,3,2,,5,2,,4,2,5,,,
5277,0,5,3,,2,4,2,1,,,4,3,2,2,,2,,5,1,3,,
4388,0,,3,,,,1,2,3,4,,,4,1,3,5,,5,1,1,2,
5448,0,,,3,1,1,4,,5,2,,1,,,3,,1,,,5,2,
5347,0,4,,,,3,2,2,,3,,,2,3,2,4,,1,3,5,,
2765,0,4,2,,5,3,,4,3,4,,,,2,,,2,5,1,,,
139,0,3,5,2,,2,,2,,1,,3,,3,,2,5,,,,2,
1940,0,2,3,,5,4,,4,5,,,,2,4,,3,,,,5,,
6037,0,,,,,4,,2,,2,,2,,,,,4,,,,,
4790,0,5,1,,,,4,2,1,3,3,3,1,,,,2,,,,,
4489,0,1,2,2,4,5,,2,3,2,2,1,,,5,5,4,3,5,3,,
,,4,2,0,3,5,3,2,2,2,1,0,1,2,1,3,4,3,2,3,0,
,,0.5,0.25,0,0.6,0.555555556,0.5,0.2,0.285714286,0.25,0.25,0,0.2,0.285714286,0.2,0.5,0.571428571,0.5,0.333333333,0.5,0,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
User,"Gender (1 =F, 0=M)",260: Star Wars: Episode IV - A New Hope (1977),1210: Star Wars: Episode VI - Return of the Jedi (1983),356: Forrest Gump (1994),"318: Shawshank Redemption, The (1994)","593: Silence of the Lambs, The (1991)",3578: Gladiator (2000),1: Toy Story (1995),2028: Saving Private Ryan (1998),296: Pulp Fiction (1994),1259: Stand by Me (1986),2396: Shakespeare in Love (1998),2916: Total Recall (1990),780: Independence Day (ID4) (1996),541: Blade Runner (1982),1265: Groundhog Day (1993),"2571: Matrix, The (1999)",527: Schindler's List (1993),"2762: Sixth Sense, The (1999)",1198: Raiders of the Lost Ark (1981),34: Babe (1995),
1577,1,,,,5,2,,4,,,1,,1,4,4,1,1,2,3,1,3,
1202,1,4,3,4,1,4,1,,4,,1,5,1,,4,,3,5,5,,,
3823,1,2,4,4,4,,,3,1,4,4,5,2,4,,1,,,3,,2,
4117,1,5,1,,4,2,4,4,4,,1,2,3,1,,5,,,,,5,
5450,1,2,1,5,,,5,5,,,,,3,2,,,1,,2,1,4,
3118,1,3,,3,,2,,3,,,4,,1,2,2,3,5,1,,,,
4656,1,4,4,,,5,5,2,,3,5,,1,3,,2,,3,,3,1,
4796,1,,,1,,3,2,,2,,1,5,,,,5,2,2,4,3,4,
3048,1,4,5,1,5,1,1,4,,5,,,,,4,,,2,1,2,5,
,,4,3,3,4,2,3,4,2,2,3,3,0,2,3,2,1,1,2,0,4,
,,0.571428571,0.5,0.5,0.8,0.285714286,0.5,0.571428571,0.5,0.666666667,0.428571429,0.75,0,0.333333333,0.75,0.333333333,0.2,0.166666667,0.333333333,0,0.571428571,
,,,,,,,,,,,,,,,,,,,,,,
,,0.071428571,0.25,0.5,0.2,-0.26984127,0,0.371428571,0.214285714,0.416666667,0.178571429,0.75,-0.2,0.047619048,0.55,-0.166666667,-0.371428571,-0.333333333,0,-0.5,0.571428571,-0.5
